Id,Name,Writer,Original_Language,Genre,Binding,Publication,Price,Transaction_method,Year,Read/Unread,Rating,Gender of the Writer
1,The cycle of Time,Simone Boger,English,Non Fiction,Paperback,,₹20,Cash,2022,Partially read,Moderate,Female
2,The Danish Girl,David Ebershoff,English,Fiction,Paperback,W&N,₹28,Online,2020,Yes,Moderate,Male
3,A Room of One's Own,Virginia Woolf,English,Non Fiction,Paperback,Maple Classics,₹50,Cash,2023,Yes,Moderate,Female
4,Odyssey,Homer,Greek,Poetry,Paperback,Airmont Publishing Company Ltd,₹50,Cash,2023,No,None,Male
5,Light of the Bhagavata,A. C. B. Swami Prabhupada,English,Non Fiction,Paperback,The Bhakti Vedanta Book Trust,₹55,Online,2022,No,None,Male
6,Cradle Tales of Hinduism,Sister Nivedita,English,Fiction,Paperback,Advaita Ashrama,₹70,Online,2016,Yes,Moderate,Female
7,A Christmas Carol,Charles Dickens,English,Fiction,Paperback,Maple Classics,₹75,Online,2020,Yes,Moderate,Male
8,Pskov,,English,Non Fiction,Hardcover,Raduga Publishers,₹80,Cash,2023,No,None,No information
9,Vladimir,,English,Non Fiction,Hardcover,Raduga Publishers,₹80,Cash,2023,No,None,No information
10,Outstanding World's Wonder,Anita & Gagan Gupta,English,Non Fiction,Paperback,M G Books,₹95,Cash,2016,Yes,Moderate,Male and Female
11,Treasure Island,R. L. Stevenson,English,Fiction,Hardcover,Papillo Classics,₹95,Cash,2014,Yes,Excellent,Male
12,The Wind in the willows,Kenneth Grahame,English,Fiction,Paperback,Fingerprint Classics,₹99,Online,2021,Yes,Moderate,Male
13,Fairy Tales,The Brothers Grimm,English,Fiction,Hardcover,Children's Classics,₹100,Online,2022,No,Moderate,Male
14,Four Plays Of Euripides,Euripides,Greek,Drama,Paperback,Penguin,₹100,Cash,2023,Yes,Moderate,Male
15,The Adventures of Tom Sawyer and Huckleberry Finn,Mark Twain,English,Fiction,Hardcover,"Chuckervertty, Chatterjee & Coltd",₹100,Cash,2016,Yes,Excellent,Male
16,The Iliad,Homer,Greek,Poetry,Paperback,Wordsworth Classics,₹100,Cash,2023,Partially read,Moderate,Male
17,Meditations,Marcus Aurelius,Greek,Non Fiction,Paperback,Maple Classics,₹113,Online,2021,Yes,Excellent,Male
18,Walden,Henry David Thoreau,English,Non Fiction,Paperback,Maple Classics,₹116,Online,2020,Yes,Excellent,Male
19,Oliver Twist,Charles Dickens,English,Non Fiction,Paperback,Papillo Classics,₹120,Cash,2014,Yes,Moderate,Male
20,The little Fellow,Peter Cotes & Thelma Niklaus,English,Non Fiction,Paperback,The Bodly Head London,₹120,Cash,2016,Yes,Excellent,Male and Female
21,Stories by O. Henry,O. Henry,English,Fiction,Paperback,Mansi Publishing House,₹125,Cash,2016,Yes,Excellent,Male
22,The Picture of Dorian Gray,Oscar Wilde,English,Fiction,Paperback,Maple Classics,₹125,Online,2020,Yes,Moderate,Male
23,50 selected works of O. Henry,O. Henry,English,Fiction,Paperback,Projapoti,₹130,Online,2022,Yes,Moderate,Male
24,Malgudi Days,R. K. Narayan,English,Fiction,Paperback,Indian Thought Publication,₹140,Cash,2014,Yes,Moderate,Male
25,Kidnapped,R. L. Stevenson,English,Fiction,Hardcover,Jaico,₹145,Cash,2016,Yes,Moderate,Male
26,Browning,Robert Browning,English,Poetry,Paperback,Penguin,₹150,Cash,2023,No,None,Male
27,Poems of Robert Frost,Robert Frost,English,Poetry,Paperback,Washington Square Press Ltd,₹150,Cash,2023,No,None,Male
28,Shelley,Percy Bysshe Shelley,English,Poetry,Paperback,Penguin,₹150,Cash,2023,No,None,Male
29,Tales of Ancient Egypt,Roger Lancelyn Green,English,Fiction,Paperback,Puffin Classics,₹150,Online,2019,Yes,Moderate,Male
30,The Monk who sold his Ferrari,Robin Sharma,English,Fiction,Paperback,Jaico Publishing Company,₹156,Online,2020,Yes,Bad,Male
31,Little Women,Louisa May Alcott,English,Fiction,Paperback,Vintage classics,₹162,Online,2021,Yes,Excellent,Female
32,Leo Tolstoy Selected works,Leo Tolstoy,Russian,Fiction,Paperback,Maple Classics,₹166,Online,2021,Yes,Moderate,Male
33,Uncle Vanya,Anton Chekhov,Russian,Drama,Paperback,Dover Publication,₹167,Online,2023,Yes,Excellent,Male
34,Manik Da: Memoirs of Satyajit Ray,Nemai Ghosh,English,Non Fiction,Paperback,Harper Collins,₹173,Online,2021,Yes,Moderate,Male
35,Selected short stories of Anton Chekhov,Anton Chekhov,Russian,Fiction,Paperback,Little Scholarz pvt Ltd,₹175,Cash,2022,Partially read,Moderate,Male
36,The Adventures of Henri Thoreau,Michael Sims,English,Non Fiction,Paperback,Bloomsbury publication,₹188,Online,2022,Yes,Moderate,Male
37,Doctor Faustus,"Christopher Marlowe, Dr. R. Sen",English,Drama,Paperback,Unique Publishers Pvt Ltd,₹190,None,2018,Yes,Moderate,Male
38,Rabindra galpagucchha,Rabindranath Tagore,Bengali,Fiction,Hardcover,,₹190,Online,2021,Partially read,Moderate,Male
39,My Years with Apu,Satyajit Ray,English,Non Fiction,Paperback,Penguin,₹194,Online,2021,Yes,Moderate,Male
40,Don Quixote,Miguel de Cervantes,Spanish,Fiction,Paperback,Maple Classics,₹197,Online,2021,Yes,Excellent,Male
41,The origin of Species,Charles Darwin,English,Non Fiction,Paperback,Fingerprint classics,₹199,Online,2020,No,None,Male
42,Catch-22,Joseph Heller,English,Fiction,Paperback,,₹200,Online,2022,Yes,Excellent,Male
43,Pride & Prejudice,Jane Austen,English,Fiction,Paperback,,₹200,Cash,2014,Yes,Excellent,Female
44,Macbeth: A Critical Evaluation,"W. Shakespeare, Dr. R. Sen",English,Drama,Paperback,Unique Publishers Pvt Ltd,₹210,None,2018,Yes,Moderate,Male
45,Crime and Punishment,Fyodor Dostoevsky,Russian,Fiction,Paperback,Fingerprint classics,₹219,Online,2020,Yes,Excellent,Male
46,Beyond Religion: Ethics for a whole World,The Dalai Lama,English,Non Fiction,Paperback,Element,₹220,Online,2020,Yes,Moderate,Male
47,Wuthering Heights,Emily Bronte,English,Fiction,Paperback,Scholastic,₹225,None,2021,Yes,Bad,Female
48,Sarat Rachana Samagra vol 2,Sarat Chandra Chattopadhyay,Bengali,Fiction,Hardcover,,₹230,Online,2021,No,None,Male
49,Jane Eyre,Charlotte Bronte,English,Fiction,Paperback,Penguin ,₹234,Online,2020,Yes,Moderate,Female
50,Bhagavad Gita,,Sanskrit,Non Fiction,Hardcover,Prakash Deluxe Silk Hardbound,₹239,Online,2020,Yes,Excellent,No information
51,Great works of Jules Verne,Jules Verne,French,Fiction,Paperback,Projapoti,₹240,Online,2022,Partially read,Excellent,Male
52,Sacred Tibet,Philip S. Rawson,English,Non Fiction,Paperback,Thames and Hudson,₹243,Online,2020,Yes,Excellent,Male
53,The Tibetan Book of Death,W. Y. Evans-Wentz,English,Non Fiction,Paperback,Winsome Books India,₹248,Online,2020,Yes,Moderate,Male
54,The Picture of Dorian Gray,Oscar Wilde,English,Fiction,Hardcover,Fingerprint Deluxe Edition,₹269,Online,2022,Yes,Excellent,Male
55,Farewell to Arms,Ernest Hemingway,English,Fiction,Paperback,,₹270,Online,2023,No,None,Male
